Payment_ID,User_ID,Amount,Date,Method
214,1,451.11,2019-10-23,JCB 16 digit
215,2,39.05,2020-10-20,Mastercard
216,13,104.17,2007-02-09,Maestro
217,72,342.37,1989-09-03,Maestro
218,44,209.41,1976-05-31,JCB 16 digit
219,31,412.84,1989-11-04,Maestro
220,83,335.77,2011-04-05,JCB 16 digit
221,82,84.21,2005-06-27,VISA 13 digit
222,62,226.92,2013-10-31,JCB 15 digit
223,12,321.32,1991-05-15,VISA 16 digit
224,60,87.78,2003-07-20,VISA 13 digit
225,73,318.61,2016-09-05,VISA 13 digit
226,4,434.14,1989-05-03,Diners Club / Carte Blanche
227,44,415.4,1970-10-10,VISA 16 digit
228,100,12.78,2016-11-17,Diners Club / Carte Blanche
229,91,150.16,2023-01-26,Mastercard
230,44,409.71,1991-03-23,VISA 16 digit
231,11,128.33,2009-04-01,VISA 16 digit
232,81,327.31,1981-12-06,JCB 16 digit
233,4,153.98,1995-02-01,Mastercard
234,47,167.04,1977-08-29,JCB 15 digit
235,68,399.44,1972-09-07,JCB 16 digit
236,53,459.54,2005-02-04,VISA 19 digit
237,50,18.94,2007-02-11,VISA 16 digit
238,83,260.98,1981-07-28,VISA 16 digit
239,35,23.98,1985-08-24,Diners Club / Carte Blanche
240,62,325.68,2006-10-05,VISA 13 digit
241,27,85.61,1980-05-12,VISA 13 digit
242,83,101.16,1982-11-12,VISA 16 digit
243,99,26.06,2019-11-21,Diners Club / Carte Blanche
244,69,102.02,2017-05-02,VISA 16 digit
245,32,427.77,2007-02-02,Diners Club / Carte Blanche
246,92,432.78,2001-11-07,Discover
247,3,202.57,1988-11-26,VISA 16 digit
248,7,18.47,1985-08-11,Maestro
249,92,199.94,1989-07-29,VISA 16 digit
250,19,45.28,1997-12-18,JCB 16 digit
251,92,497.38,1991-05-06,JCB 15 digit
252,26,397.44,1972-04-17,VISA 13 digit
253,65,323.36,2022-06-05,VISA 19 digit
254,96,39.17,1989-12-22,JCB 15 digit
255,62,65.87,1975-10-30,JCB 15 digit
256,25,14.97,2017-02-01,VISA 19 digit
257,24,352.07,1997-12-26,VISA 13 digit
258,77,469.26,1994-07-22,VISA 19 digit
259,100,260.96,2011-03-21,JCB 16 digit
260,99,241.24,2019-06-29,VISA 16 digit
261,53,291.46,2004-08-18,American Express
262,24,189.35,1997-03-16,Discover
263,5,357.98,2005-03-25,JCB 16 digit
264,71,245.84,1991-03-25,American Express
265,24,431.14,1984-04-13,Maestro
266,88,428.69,1979-03-16,VISA 16 digit
267,82,470.36,1991-01-23,JCB 15 digit
268,62,27.37,1980-03-25,Mastercard
269,97,47.82,2000-05-23,Maestro
270,94,305.89,2014-10-26,Discover
271,69,410.08,2010-02-22,Maestro
272,26,182.46,2002-02-24,JCB 16 digit
273,36,42.73,2020-02-13,Maestro
274,81,283.4,1978-09-09,Discover
275,57,299.48,2019-08-08,Discover
276,42,71.12,2006-10-03,Diners Club / Carte Blanche
277,27,333.5,2018-08-21,VISA 19 digit
278,70,373.11,2005-03-25,JCB 16 digit
279,36,200.71,2004-04-10,VISA 16 digit
280,68,88.52,2002-12-02,American Express
281,78,36.16,2012-11-19,Discover
282,68,205.23,1970-08-27,JCB 16 digit
283,30,254.3,1977-07-10,VISA 16 digit
284,45,90.1,2023-02-24,Maestro
285,14,63.48,1991-06-08,JCB 16 digit
286,50,371.36,2018-08-07,VISA 16 digit
287,15,459.95,2004-04-13,Maestro
288,22,8.56,2005-03-07,Mastercard
289,4,242.38,2004-01-03,Mastercard
290,57,421.85,2014-02-03,Mastercard
291,96,300.49,1986-12-13,JCB 15 digit
292,66,392.64,2004-02-15,VISA 19 digit
293,25,393.1,2020-03-16,JCB 16 digit
294,69,353.78,1995-03-19,Discover
295,99,332.0,2016-03-26,JCB 16 digit
296,16,44.7,2014-06-21,Mastercard
297,51,249.46,2005-04-12,VISA 13 digit
298,64,37.43,1976-05-13,Discover
299,2,71.8,2017-02-06,Mastercard
300,52,449.13,1997-08-12,VISA 16 digit
